Name	Price	Unit	Lon	Lat	Region	Address
青岛印象湾	19500	元/㎡	120.424379	36.223487	李沧区	文昌路697号
世茂香奈公馆	19000	元/㎡	120.24090586429	35.980926430844	黄岛区	长江东路与嘉陵江路延长线交汇处（长江东路与新港山路交汇处西北侧）
世茂锦域	11500	元/㎡	120.13017402979	36.029717803636	黄岛区	昆仑山路与淮河西路交接处西300米
银丰玖玺城	62000	元/㎡	120.464638	36.09895	崂山区	香港东路山东头
海尔产城创蓝谷海上东方	16800	元/㎡	120.68602568328	36.369335328628	即墨区	青岛蓝色硅谷·滨海大道·山东大学青岛校区西侧
中房鑫汇水岸	12500	元/㎡	120.174513	36.229505	城阳区	龙海路76号
和达北岸悦璋	11000	元/㎡	120.23505910952	36.290269988096	城阳区	正阳路与龙翔路交汇处
实地海棠蓝谷	12670	元/㎡	120.69812864135	36.392856349718	即墨区	鳌山卫街道星石庄村
实地蔷薇熙岸	12000	元/㎡	120.680672	36.444709	即墨区	温泉二路
绿地青岛城际空间站	9100	元/㎡	119.96143441199	35.9058124032	胶南市	青岛西站旁
青岛印象品	41000	元/㎡	120.455609	36.130948	崂山区	合肥路以南，深圳路以东
绿地凤栖澜玥	26000	元/㎡	120.22715265718	35.96320259836	黄岛区	珠江路与衡山路交汇处东200米
保利叁仟栋	9000	元/㎡	120.09118827889	36.276551978429	胶州市	少海北路52号
青岛印象湾	19500	元/㎡	120.424379	36.223487	李沧区	文昌路697号
世茂香奈公馆	19000	元/㎡	120.24090586429	35.980926430844	黄岛区	长江东路与嘉陵江路延长线交汇处（长江东路与新港山路交汇处西北侧）
世茂锦域	11500	元/㎡	120.13017402979	36.029717803636	黄岛区	昆仑山路与淮河西路交接处西300米
银丰玖玺城	62000	元/㎡	120.464638	36.09895	崂山区	香港东路山东头
海尔产城创蓝谷海上东方	16800	元/㎡	120.68602568328	36.369335328628	即墨区	青岛蓝色硅谷·滨海大道·山东大学青岛校区西侧
中房鑫汇水岸	12500	元/㎡	120.174513	36.229505	城阳区	龙海路76号
和达北岸悦璋	11000	元/㎡	120.23505910952	36.290269988096	城阳区	正阳路与龙翔路交汇处
实地海棠蓝谷	12670	元/㎡	120.69812864135	36.392856349718	即墨区	鳌山卫街道星石庄村
实地蔷薇熙岸	12000	元/㎡	120.680672	36.444709	即墨区	温泉二路
绿地青岛城际空间站	9100	元/㎡	119.96143441199	35.9058124032	胶南市	青岛西站旁
青岛印象品	41000	元/㎡	120.455609	36.130948	崂山区	合肥路以南，深圳路以东
绿地凤栖澜玥	26000	元/㎡	120.22715265718	35.96320259836	黄岛区	珠江路与衡山路交汇处东200米
保利叁仟栋	9000	元/㎡	120.09118827889	36.276551978429	胶州市	少海北路52号
越秀和悦府	12000	元/㎡	120.01310080105	35.905153959294	胶南市	西海岸新区临港路南大珠山中路西
越秀星汇城	11000	元/㎡	120.23130841414	36.279793918099	城阳区	上马街道龙润路与397省道交汇处
即墨青特城	10600	元/㎡	120.512915	36.453332	即墨区	祥泉一路与河滨一路交汇处（汽车城公园东侧）
万科金域北岸	12500	元/㎡	120.32458146134	36.325477398195	城阳区	棘洪滩荣海四路与裕园七路交汇处
鑫江花漾里	14300	元/㎡	120.430204	36.279817	城阳区	银河路666号-1
金地锦宸	27500	元/㎡	120.34647329291	36.090627758736	市北区	大港二路12号
海尔产城创东方学府	15000	元/㎡	120.432166	36.383326	即墨区	学府路1号（即墨28中学东侧）
昆仑府	17000	元/㎡	120.43182131167	36.32564819957	城阳区	靖城路东，白云山中路北
苏荷东区	12200	元/㎡	120.54936876821	36.420949537461	即墨区	晓阳路和棠邑路交汇处
双利城央府	15000	元/㎡	120.38568044231	36.317184579912	城阳区	德阳路以北，春阳路以南，204国道以东
海尔产城创白云山花园	16000	元/㎡	120.452482	36.323346	城阳区	春阳路37号
鲁商健康城	16500	元/㎡	120.70245499015	36.36071317466	即墨区	蓝海一路92号（山东大学青岛校区南门南侧）
海尔产城创衡山学府	14500	元/㎡	120.225014	35.975684	黄岛区	黄岛区衡山路688号
理想之城慧通蘭园	7400	元/㎡	119.962942	36.770846	平度市	常州路与朝阳路（规划）交汇处
天一仁和宸璟鹭洲	9000	元/㎡	120.1071135707	36.284916918937	胶州市	胶泰路28号
未来星城	15000	元/㎡	120.09299981196	35.931712621467	胶南市	西海岸开城路北、黄海学院西
绿地国科健康科技小镇	14000	元/㎡	120.47023428753	36.331400756765	城阳区	春阳路和驯虎山路交汇处北500米
上合U领寓	7500	元/㎡	120.105021	36.229755	胶州市	滦河路1号
金科平澜府	12000	元/㎡	120.01950464281	35.850084115552	胶南市	西海岸中央活力区，风河左畔，世纪大道南
金地格林美景	11000	元/㎡	120.02327	35.848444	胶南市	世纪大道南圣元路西
新城云樾晓院	13000	元/㎡	120.32428193525	36.294585563205	城阳区	丰年路北侧，和源路西侧，宝源路东侧，规划路南侧
海信红岛府	18000	元/㎡	120.32557451394	36.288242001709	城阳区	丰庆路以南、华东路以东
荣美广兴府	11000	元/㎡	120.02672179506	35.880336716323	胶南市	双珠路北、大珠山中路东
和昌海云曦岸	13000	元/㎡	120.05928163231	35.872494232471	胶南市	青岛西海岸城市阳台4A级景区内，滨海大道东、海景路西
鲁商学府	10600	元/㎡	120.55261952583	36.431078563733	即墨区	长广路888号
青岛龙湖光年	12000	元/㎡	120.11123009531	36.094301710004	黄岛区	团结路与昆仑山北路交汇处
青岛保利大国璟	28000	元/㎡	120.41319374242	36.124662636161	市北区	同德路以北、劲松三路以西、规划宁安路两侧
金科恒联集美常青	9500	元/㎡	120.008569	36.269	胶州市	胶州西路与杭州路交汇处
融创影都壹號	15800	元/㎡	120.10187519742	35.905315155209	胶南市	滨海大道1777号
众安青岛新城市	11000	元/㎡	120.20663470288	36.26591876361	城阳区	丰和路与S397省道交汇处（红岛高铁站北）
金茂智慧国际城	11000	元/㎡	120.441059	36.346089	即墨区	烟青路东、珠江二路南
保利源诚领秀山	11500	元/㎡	120.06410166367	35.919018610798	胶南市	两河路东前湾港路南
融创澜山壹號	16000	元/㎡	120.44154825092	36.339031694101	城阳区	祥阳路与荟城路交汇处西50米
天一仁和宸璟都会	11600	元/㎡	120.23542886919	36.287110416595	城阳区	龙翔路270号
